person_age,person_gender,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_VENTURE,log_person_income,log_loan_amnt,whole_loan_percent_income,loan_credit,interest_burden,employment_experience_ratio,interest_per_credit_score,default_interest_interaction,high_loan_burden,high_interest_rate,annual_interest_amount,young_applicant,low_income_applicant,high_income_applicant,short_credit_history,loan_status
23.0,1,136628.0,0,35000.0,18.25,0.26,4.0,709,0,0,1,0,0,0,0,0,1,0,0,0,0,11.825024502268935,10.463131911491967,0.0493127323828205,34.96272725941974,4.745,0.0,0.025740479512354753,0.0,1,1,6387.5,1,0,1,0,1
24.0,0,14283.0,1,1750.0,10.99,0.12,2.0,679,0,0,0,0,1,1,0,0,0,1,0,0,0,9.566895308714338,7.467942332285852,0.014690541202828537,9.974877476720577,1.3188,0.16666666666666666,0.01618556698647192,0.0,0,0,192.325,1,1,0,1,1
25.0,1,195718.0,0,35000.0,7.49,0.18,4.0,684,1,0,1,0,0,0,0,0,0,0,0,0,1,12.184435236050135,10.463131911491967,0.01518255857918025,10.384870068159291,1.3482,0.0,0.01095029238165162,7.49,0,0,2621.5,0,0,1,0,0
25.0,1,165792.0,4,34800.0,16.77,0.21,2.0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,12.018495301250445,10.457401400981889,0.03729950781702374,24.692274174869716,3.5216999999999996,0.5714285714285714,0.02533232624572156,0.0,1,1,5835.96,0,0,1,1,0
22.0,0,79255.0,0,34000.0,17.58,0.43,4.0,691,0,0,0,0,1,0,0,0,0,1,0,0,0,11.280438398652866,10.434145214930487,0.07970727398902278,55.07772632641474,7.559399999999999,0.0,0.025441389254064556,0.0,1,1,5977.2,1,0,0,0,1
24.0,0,13866.0,0,1500.0,7.29,0.11,3.0,600,1,0,1,0,0,0,0,1,0,0,0,0,0,9.537267195753865,7.313886831633462,0.008967979229770662,5.380787537862397,0.8019000000000001,0.0,0.01214999997975,7.29,0,0,109.35,1,1,0,0,0
22.0,1,97420.0,1,33950.0,14.54,0.35,4.0,691,0,0,1,0,0,0,0,0,0,0,0,0,0,11.486797072140535,10.432673587634051,0.05415551221515089,37.42145894066927,5.0889999999999995,0.25,0.021041968131632463,0.0,1,1,4936.33,1,0,1,0,1
24.0,0,82443.0,0,33000.0,12.68,0.4,3.0,654,0,0,0,0,0,0,0,0,0,0,1,0,0,11.319874553963189,10.404293143019792,0.05475783268440013,35.81162257559769,5.072,0.0,0.019388379175247127,0.0,1,0,4184.4,1,0,0,0,1
21.0,0,14288.0,0,4575.0,17.74,0.32,3.0,626,0,1,0,0,0,1,0,0,0,0,0,0,1,9.56724528946897,8.428580533059634,0.06000524916013438,37.563285974244124,5.676799999999999,0.0,0.028338658101695433,0.0,1,1,811.605,1,1,0,0,1
23.0,1,14293.0,0,1400.0,9.32,0.1,3.0,607,0,0,0,0,0,0,0,1,0,0,0,0,0,9.567595147779924,7.244941546337007,0.010108444693206464,6.135825928776324,0.932,0.0,0.015354200963172651,0.0,0,0,130.48,1,1,0,0,0
24.0,0,79054.0,1,32500.0,9.99,0.41,3.0,700,0,0,1,0,0,0,0,0,0,0,1,0,0,11.277899091744246,10.389026137075234,0.04518114200419966,31.626799402939763,4.095899999999999,0.16666666666666666,0.014271428551040816,0.0,1,0,3246.75,1,0,0,0,1
21.0,0,14988.0,0,4000.0,12.84,0.27,2.0,553,0,0,1,0,0,0,1,0,0,1,0,0,0,9.615071877730596,8.294299608857235,0.03693621563917801,20.42572724846544,3.4668,0.0,0.02321880646795876,0.0,1,0,513.6,1,1,0,1,1
21.0,1,14858.0,0,2000.0,11.12,0.13,3.0,589,0,0,0,0,0,0,0,1,0,0,0,1,0,9.606361021256347,7.601402334583733,0.016314443397496298,9.609207161125319,1.4456,0.0,0.018879456674228426,0.0,0,0,222.4,1,1,0,0,1
25.0,1,144855.0,1,32000.0,6.62,0.22,2.0,586,1,0,1,0,0,0,0,0,0,0,0,0,1,11.88349542450048,10.373522431293592,0.016833385109247177,9.864363674018845,1.4564000000000001,0.14285714285714285,0.011296928308367017,6.62,0,0,2118.4,0,0,1,1,0
26.0,1,114645.0,2,31050.0,14.17,0.27,3.0,681,0,0,1,0,0,0,0,0,0,0,1,0,0,11.649604398885447,10.343386292962181,0.04108583017139866,27.97945034672249,3.8259000000000003,0.25,0.02080763579910773,0.0,1,1,4399.785,0,0,1,0,1
25.0,0,368115.0,3,24250.0,13.85,0.07,3.0,567,1,0,0,0,0,0,0,0,1,0,0,0,0,12.816153384871809,10.096213132628804,0.009782608695652175,5.546739130434783,0.9695,0.42857142857142855,0.024426807717060302,13.85,0,1,3358.625,0,0,1,0,0
26.0,0,361076.0,1,7800.0,13.49,0.02,4.0,669,0,1,0,0,0,1,0,0,0,0,0,1,0,12.796846510969468,8.962007209588313,0.0031301443463425983,2.0940665677031984,0.2698,0.125,0.020164424484059158,0.0,0,1,1052.22,0,0,1,0,0
21.0,1,15150.0,0,2500.0,7.51,0.17,4.0,600,0,1,0,0,0,0,0,1,0,1,0,0,0,9.625821815359835,7.824445930877619,0.014042904290429042,8.425742574257425,1.2767,0.0,0.012516666645805556,0.0,0,0,187.75,1,1,0,0,1
22.0,0,58868.0,0,30000.0,18.39,0.51,2.0,606,0,0,1,0,0,0,0,0,0,1,0,0,0,10.983069915297433,10.308985993422082,0.09881429639192771,59.88146361350819,9.3789,0.0,0.03034653460338856,0.0,1,1,5517.0,1,0,0,1,1
24.0,1,78026.0,3,30000.0,14.54,0.38,3.0,582,0,0,0,0,0,0,0,0,1,0,0,0,0,11.264810199620461,10.308985993422082,0.05974931433112039,34.77410094071207,5.5252,0.5,0.024982817826490002,0.0,1,1,4362.0,1,0,0,0,1
25.0,1,90785.0,4,30000.0,16.89,0.33,4.0,649,0,0,1,0,0,0,0,0,0,0,1,0,0,11.416260367679627,10.308985993422082,0.05911769565456849,38.36738447981495,5.5737000000000005,0.5714285714285714,0.026024653272689286,0.0,1,1,5067.0,0,0,0,0,1
23.0,0,86811.0,0,30000.0,11.01,0.35,4.0,602,0,0,0,0,0,0,0,0,1,0,0,0,0,11.371500139940876,10.308985993422082,0.041503956871824996,24.985382036838647,3.8534999999999995,0.0,0.018289036514470038,0.0,1,0,3303.0,1,0,0,0,1
26.0,1,75503.0,5,30000.0,17.99,0.4,2.0,616,0,0,1,0,0,0,0,0,0,0,0,1,0,11.231940913966168,10.308985993422082,0.075453955471968,46.47963657073228,7.196,0.625,0.029204545407135477,0.0,1,1,5397.0,0,0,0,1,1
24.0,0,15082.0,0,2500.0,12.69,0.17,3.0,631,0,0,0,0,0,0,0,1,0,0,0,0,1,9.621323560768252,7.824445930877619,0.022692613711709324,14.319039252088583,2.1573,0.0,0.02011093499190026,0.0,1,0,317.25,1,1,0,0,1
26.0,1,361293.0,5,20000.0,7.88,0.06,4.0,684,1,0,1,0,0,1,0,0,0,0,0,0,1,12.797447310299804,9.90353755128617,0.004915677857030167,3.362323654208634,0.4728,0.625,0.01152046781941452,7.88,0,0,1576.0,0,0,1,0,0
23.0,1,361547.0,0,24250.0,19.41,0.07,2.0,637,1,0,0,0,0,0,0,1,0,1,0,0,0,12.798150091849449,10.096213132628804,0.013689575629171311,8.720259675782126,1.3587000000000002,0.0,0.03047095756597966,19.41,0,1,4706.925,1,0,1,1,0
26.0,1,360680.0,5,10000.0,10.38,0.03,4.0,649,0,0,0,0,1,0,0,1,0,0,1,0,0,12.795749190150756,9.210440366976517,0.003155151380725297,2.047693246090718,0.3114,0.625,0.01599383664715896,0.0,0,0,1038.0000000000002,0,0,1,0,0
26.0,1,360977.0,5,25000.0,15.33,0.07,3.0,695,1,0,1,0,0,1,0,0,0,1,0,0,0,12.796572293629735,10.12667110305036,0.011309584821193593,7.860161450729548,1.0731000000000002,0.625,0.022057553925097045,15.33,0,1,3832.5,0,0,1,0,0
25.0,0,361244.0,2,18000.0,16.45,0.05,3.0,620,0,0,1,0,0,1,0,0,0,0,1,0,0,12.797311677482544,9.798182590890704,0.008694954103043925,5.390871543887234,0.8225,0.2857142857142857,0.026532258021722162,0.0,0,1,2961.0,0,0,1,0,0
26.0,1,98230.0,2,30000.0,7.49,0.31,3.0,622,0,0,1,0,0,0,0,0,0,0,0,0,0,11.495077126806448,10.308985993422082,0.025928942278326376,16.127802097119005,2.3219,0.25,0.01204180062372701,0.0,1,0,2247.0,0,0,1,0,1
22.0,0,80838.0,0,30000.0,12.69,0.37,3.0,645,0,0,0,0,0,0,0,0,0,0,0,1,0,11.300214801327241,10.308985993422082,0.05080531433236844,32.769427744377644,4.6953,0.0,0.019674418574148186,0.0,1,0,3807.0,1,0,0,0,1
26.0,1,107957.0,2,30000.0,6.62,0.28,3.0,654,0,0,0,0,1,0,0,0,1,0,0,0,0,11.589497541580574,10.308985993422082,0.02117509749252017,13.848513760108192,1.8536000000000001,0.25,0.010122324143543847,0.0,1,0,1986.0,0,0,1,0,1
24.0,0,94649.0,2,30000.0,11.01,0.32,4.0,624,0,0,1,0,0,0,0,0,1,0,0,0,0,11.45794115663747,10.308985993422082,0.03806696320087904,23.75378503734852,3.5232,0.3333333333333333,0.01764423074095476,0.0,1,0,3303.0,1,0,0,0,1
23.0,1,94550.0,1,30000.0,18.62,0.32,3.0,570,0,0,0,0,0,0,0,0,1,0,0,0,0,11.45689465044527,10.308985993422082,0.062252776308831304,35.48408249603384,5.9584,0.2,0.03266666660935673,0.0,1,1,5586.0,1,0,0,0,1
23.0,1,111153.0,3,30000.0,15.23,0.27,3.0,648,0,0,1,0,0,0,0,0,0,0,0,0,0,11.61867190614922,10.308985993422082,0.04380448570888775,28.38530673935926,4.112100000000001,0.6,0.02350308638348289,0.0,1,1,4569.0,1,0,1,0,1
23.0,0,117250.0,0,30000.0,10.65,0.26,2.0,652,0,1,0,0,0,0,0,0,0,0,0,0,1,11.672072215056804,10.308985993422082,0.02980810234541578,19.434882729211086,2.769,0.0,0.016334355803168166,0.0,1,0,3195.0,1,0,1,1,1
25.0,1,144985.0,3,30000.0,7.9,0.21,4.0,559,0,0,1,0,0,0,0,0,0,1,0,0,0,11.884392465017156,10.308985993422082,0.018415698175673345,10.2943752802014,1.659,0.42857142857142855,0.014132379223376783,0.0,1,0,2370.0,0,0,1,0,0
26.0,1,337133.0,7,10000.0,15.96,0.03,3.0,623,1,0,0,0,0,0,0,0,0,0,0,0,0,12.728235756414945,9.210440366976517,0.005030655557302311,3.13409841219934,0.4788,0.875,0.02561797748696954,15.96,0,1,1596.0,0,0,1,0,0
26.0,1,333566.0,2,20000.0,11.48,0.06,3.0,602,1,1,0,0,0,0,0,0,0,0,0,0,1,12.717599023710427,9.90353755128617,0.007482777021638896,4.504631767026615,0.6888,0.25,0.01906976741018311,11.48,0,0,2296.0,0,0,1,0,0
23.0,1,333399.0,1,35000.0,11.01,0.1,4.0,609,0,0,1,0,0,0,0,1,0,0,0,0,0,12.71709824929883,10.463131911491967,0.012608016220804501,7.678281878469941,1.101,0.2,0.018078817704304077,0.0,0,0,3853.5,1,0,1,0,0
25.0,1,154793.0,1,30000.0,7.29,0.19,4.0,573,1,0,0,0,1,0,0,0,0,0,0,0,0,11.949850479696664,10.308985993422082,0.016066617999521943,9.206172113726073,1.3851,0.14285714285714285,0.012722513066801897,7.29,0,0,2187.0,0,0,1,0,0
24.0,1,15229.0,1,1750.0,11.01,0.11,3.0,631,1,1,0,0,0,0,0,1,0,0,0,0,1,9.631022445889208,7.467942332285852,0.013800971830061067,8.708413224768533,1.2111,0.16666666666666666,0.01744849442559668,11.01,0,0,192.675,1,1,0,0,0
21.0,0,158338.0,0,30000.0,5.99,0.19,4.0,623,1,0,1,0,0,0,0,0,0,0,0,0,1,11.972493583181924,10.308985993422082,0.013243820182142,8.250899973474466,1.1381000000000001,0.0,0.00961476723978368,5.99,0,0,1797.0,1,0,1,0,0
22.0,0,331034.0,0,12000.0,11.58,0.04,2.0,602,1,0,1,0,0,0,0,1,0,0,0,0,1,12.70997938895037,9.392745258631441,0.004560256650374282,2.7452745035253177,0.4632,0.0,0.019235880366717806,11.58,0,0,1389.6,1,0,1,1,0
26.0,0,316466.0,6,10000.0,11.01,0.03,4.0,579,0,0,0,0,0,1,0,0,0,1,0,0,0,12.664974249727509,9.210440366976517,0.0037950364336137216,2.197326095062345,0.3303,0.75,0.01901554400860873,0.0,0,0,1101.0,0,0,1,0,1
25.0,0,267671.0,0,25000.0,15.7,0.09,2.0,582,0,1,0,0,0,1,0,0,0,0,0,1,0,12.497517629342482,10.12667110305036,0.015597505893428874,9.077748429975605,1.4129999999999998,0.0,0.02697594497083171,0.0,0,1,3925.0,0,0,1,1,1
22.0,1,85191.0,0,29100.0,15.99,0.34,3.0,700,0,0,0,0,1,0,0,0,0,1,0,0,0,11.35266281169522,10.278527816830314,0.05803535584744868,40.62474909321408,5.4366,0.0,0.02284285711022449,0.0,1,1,4653.09,1,0,0,0,1
22.0,1,15013.0,0,1500.0,14.84,0.1,3.0,688,0,1,0,0,0,1,0,0,0,1,0,0,0,9.616738378132947,7.313886831633462,0.015826283887297676,10.888483314460801,1.484,0.0,0.021569767410509057,0.0,0,1,222.6,1,1,0,0,0
26.0,1,313100.0,3,28000.0,10.99,0.09,3.0,607,1,0,1,0,0,0,0,1,0,0,1,0,0,12.65428110117717,10.239995502805316,0.010722452890450335,6.508528904503353,0.9891,0.375,0.018105436543483632,10.99,0,0,3077.2,0,0,1,0,0
25.0,0,311952.0,0,20000.0,14.42,0.06,2.0,661,1,0,1,0,0,1,0,0,0,0,1,0,0,12.65060781441848,9.90353755128617,0.009886136328665949,6.534736113248192,0.8652,0.0,0.021815431131897985,14.42,0,1,2884.0,0,0,1,1,0
24.0,1,306897.0,5,9600.0,6.99,0.03,2.0,562,1,0,0,0,0,1,0,0,0,1,0,0,0,12.634270723805884,9.169622538697624,0.0024993401695031234,1.4046291752607554,0.2097,0.8333333333333334,0.012437722397797647,6.99,0,0,671.04,1,0,1,1,0
25.0,0,301136.0,0,25000.0,13.49,0.08,4.0,664,1,0,1,0,0,0,0,0,0,0,0,1,0,12.615320589683558,10.12667110305036,0.012029448488390628,7.987553796291377,1.0792,0.0,0.02031626502964418,13.49,0,1,3372.5,0,0,1,0,0
25.0,1,15162.0,1,3000.0,11.01,0.2,3.0,564,0,0,0,0,0,0,0,1,0,0,0,1,0,9.62661352880094,8.006700845440367,0.02376335575781559,13.402532647407993,2.202,0.14285714285714285,0.01952127656113249,0.0,1,0,330.3,0,1,0,0,1
22.0,1,69042.0,0,28000.0,11.01,0.41,2.0,598,0,1,0,0,0,0,0,0,0,0,0,1,0,11.142484777883936,10.239995502805316,0.04870658439790273,29.12653746994583,4.5141,0.0,0.018411371206669948,0.0,1,0,3082.8,1,0,0,1,1
21.0,0,15307.0,0,3000.0,13.61,0.2,3.0,557,0,0,0,0,0,0,0,1,0,1,0,0,0,9.636130846545592,8.006700845440367,0.028633958319723003,15.949114784085712,2.722,0.0,0.02443447033315176,0.0,1,1,408.3,1,1,0,0,1
23.0,0,79183.0,0,28000.0,7.9,0.35,2.0,677,0,1,0,0,0,0,0,0,0,1,0,0,0,11.279529537191667,10.239995502805316,0.03147140168975664,21.306138943965244,2.765,0.0,0.01166912849088755,0.0,1,0,2212.0,1,0,0,1,1
26.0,1,102654.0,4,28000.0,7.49,0.27,3.0,690,0,0,1,0,0,0,0,0,0,0,0,0,1,11.539129130466865,10.239995502805316,0.023157402536676603,15.978607750306857,2.0223,0.5,0.010855072448036128,0.0,1,0,2097.2,0,0,1,0,1
26.0,1,15229.0,1,6100.0,7.51,0.4,3.0,599,0,1,0,0,0,0,0,1,0,1,0,0,0,9.631022445889208,8.716207971151853,0.03408693939194957,20.418076695777792,3.004,0.125,0.012537562583409744,0.0,1,0,458.11,0,1,0,0,1
22.0,1,106566.0,0,28000.0,9.91,0.26,3.0,604,0,0,0,0,0,0,0,0,0,0,0,0,1,11.576529174307367,10.239995502805316,0.028665803351913367,17.314145224555674,2.5766,0.0,0.01640728474104754,0.0,1,0,2774.8,1,0,1,0,1
21.0,0,15252.0,0,4200.0,13.48,0.28,4.0,663,0,0,1,0,0,0,0,1,0,0,0,0,0,9.632531483999934,8.343077871169383,0.03987411487018096,26.436538158929974,3.7744000000000004,0.0,0.020331825007040987,0.0,1,1,566.16,1,1,0,0,1
22.0,1,15432.0,3,4750.0,7.14,0.31,2.0,601,0,0,1,0,0,0,0,1,1,0,0,0,0,9.64426335290083,8.46611040118692,0.025055080352514258,15.05810329186107,2.2134,0.75,0.011880199647453911,0.0,1,0,339.15,1,1,0,1,1
24.0,1,100332.0,1,28000.0,15.99,0.28,4.0,634,0,0,0,0,0,0,0,0,0,0,0,0,1,11.516249932798248,10.239995502805316,0.04741458358250608,30.060845991308856,4.477200000000001,0.16666666666666666,0.025220820149493974,0.0,1,1,4477.2,1,0,1,0,1
24.0,1,300951.0,2,18000.0,12.98,0.06,3.0,671,0,0,1,0,0,0,0,0,0,1,0,0,0,12.614706062576031,9.798182590890704,0.008361494063817698,5.610562516821675,0.7788,0.3333333333333333,0.01934426226625296,0.0,0,0,2336.4,1,0,1,0,0
25.0,0,121062.0,1,28000.0,12.69,0.23,3.0,622,0,0,1,0,0,0,0,0,1,0,0,0,0,11.704066350238913,10.239995502805316,0.03166311476763972,19.694457385471907,2.9187,0.14285714285714285,0.02040192922764963,0.0,1,0,3553.2,0,0,1,0,0
26.0,1,133372.0,1,28000.0,8.9,0.21,2.0,538,1,1,0,0,0,0,0,0,0,1,0,0,0,11.800904993177658,10.239995502805316,0.020783972647932098,11.181777284587469,1.869,0.125,0.016542750898619424,8.9,1,0,2492.0,0,0,1,1,0
26.0,1,15505.0,0,2700.0,11.01,0.17,4.0,587,0,0,1,0,0,0,0,1,1,0,0,0,0,9.648982324778904,7.901377353792616,0.020913898742341182,12.276458561754273,1.8717000000000001,0.0,0.01875638838371995,0.0,1,0,297.27,0,1,0,0,1
22.0,1,130852.0,0,28000.0,11.01,0.21,4.0,683,0,0,0,0,1,0,0,0,0,1,0,0,0,11.78182983471114,10.239995502805316,0.025699263289823616,17.55259682694953,2.3121,0.0,0.01612005854155189,0.0,1,0,3082.8,1,0,1,0,1
23.0,1,182316.0,0,28000.0,11.11,0.15,2.0,634,1,1,0,0,0,0,0,0,1,0,0,0,0,12.113502209198844,10.239995502805316,0.01859847736896378,11.791434651923035,1.6664999999999999,0.0,0.017523659278353847,11.11,1,0,3110.8,1,0,1,1,0
24.0,0,83853.0,3,27600.0,11.01,0.33,2.0,690,0,0,1,0,0,0,0,0,0,0,1,0,0,11.336832470347295,10.225607282932941,0.03953060713391292,27.276118922399913,3.6333,0.5,0.01595652171600504,0.0,1,0,3038.76,1,0,0,1,1
21.0,0,15394.0,0,3250.0,15.68,0.21,3.0,518,0,0,1,0,0,1,0,0,1,0,0,0,0,9.641798060358601,8.086717920303906,0.035215018838508506,18.241379758347406,3.2927999999999997,0.0,0.030270270211833455,0.0,1,1,509.6,1,1,0,0,1
22.0,0,85243.0,0,27500.0,13.06,0.32,3.0,583,0,0,1,0,0,0,0,0,0,1,0,0,0,11.353273011437217,10.221977646629885,0.04535856316647701,26.444042326056096,4.1792,0.0,0.022401372174268658,0.0,1,1,3591.5,1,0,0,0,1
22.0,1,288907.0,2,25000.0,11.01,0.09,2.0,617,1,1,0,0,0,0,0,1,0,0,0,0,0,12.573863577313576,10.12667110305036,0.010392617693583055,6.4122451169407455,0.9908999999999999,0.5,0.017844408398955576,11.01,0,0,2752.5,1,0,1,1,0
26.0,1,89074.0,4,27050.0,15.62,0.3,2.0,668,0,1,0,0,0,0,0,0,0,0,0,0,1,11.397233990474037,10.205479252168017,0.05047163032983811,33.71504906033186,4.686,0.5,0.02338323349792929,0.0,1,1,4225.21,0,0,0,1,1
24.0,1,100509.0,2,27000.0,13.49,0.27,2.0,673,0,0,0,0,1,0,0,0,0,0,0,0,0,11.518012504018786,10.203629181337648,0.03892487239948661,26.19643912485449,3.6423,0.3333333333333333,0.020044576493247285,0.0,1,1,3642.3,1,0,1,1,1
24.0,1,88950.0,3,27000.0,11.01,0.3,3.0,706,0,0,0,0,0,0,0,0,0,0,0,0,1,11.395840935301726,10.203629181337648,0.03645531197301855,25.7374502529511,3.303,0.5,0.015594900827769261,0.0,1,0,2972.7,1,0,0,0,1
23.0,0,75894.0,1,26000.0,11.71,0.34,2.0,536,0,0,0,0,0,0,0,0,0,0,0,1,0,11.23710608506096,10.165890277802454,0.04354230900993491,23.33867762932511,3.9814000000000007,0.2,0.02184701488461378,0.0,1,0,3044.6,1,0,0,1,1
23.0,1,145092.0,0,25600.0,12.69,0.18,3.0,557,1,1,0,0,0,0,0,0,0,1,0,0,0,11.885130195117252,10.150386692204734,0.024154605353844456,13.454115182091362,2.2842,0.0,0.022782764770587494,12.69,1,0,3248.64,1,0,1,0,0
24.0,0,15928.0,1,1600.0,13.57,0.1,3.0,689,1,0,1,0,0,0,0,1,0,0,0,1,0,9.675896626294639,7.3783837129967145,0.014635861376192869,10.084108488196886,1.3570000000000002,0.16666666666666666,0.01969521042134222,13.57,0,1,217.12,1,1,0,0,0
22.0,1,73131.0,3,25475.0,10.99,0.35,3.0,681,0,0,1,0,0,0,0,0,0,0,0,0,1,11.200021306448395,10.145492111491256,0.041766863573587124,28.44323409361283,3.8465,0.75,0.016138032281735635,0.0,1,0,2799.7025,1,0,0,0,1
25.0,1,281501.0,4,20000.0,14.27,0.07,4.0,623,1,0,0,0,1,1,0,0,0,0,0,1,0,12.54789483133238,9.90353755128617,0.010848984550676552,6.7589173750714915,0.9989,0.5714285714285714,0.022905296913474642,14.27,0,1,2854.0,0,0,1,0,0
24.0,0,281775.0,0,20000.0,8.88,0.07,4.0,595,1,1,0,0,0,0,0,1,0,0,1,0,0,12.548867708034866,9.90353755128617,0.007012687427912343,4.172549019607844,0.6216000000000002,0.0,0.014924369722816187,8.88,0,0,1776.0000000000002,1,0,1,0,0
